ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,implied_vol,heston_v0,heston_kappa,heston_theta,heston_sigma,heston_rho,risk_free_rate
DIS,2026-03-11,0.005479,2,65.0,0.641532,101.31999969482422,36.33780547474299,0.5966752275659188,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,70.0,0.69088,101.31999969482422,31.339175150121363,0.5966721416734015,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,75.0,0.740229,101.31999969482422,26.370544820169556,1.6967728256885592,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,80.0,0.789578,101.31999969482422,21.37191453368466,1.367951412199856,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,85.0,0.838926,101.31999969482422,16.353284153125458,0.9224539630062158,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,89.0,0.878405,101.31999969482422,12.384379916797528,0.8422058692059637,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,90.0,0.888275,101.31999969482422,11.384653851637651,0.7795650133630905,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,91.0,0.898144,101.31999969482422,10.384927785569332,0.717038349677035,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,92.0,0.908014,101.31999969482422,9.39520170761412,0.6785556161395205,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,93.0,0.917884,101.31999969482422,8.395475690852948,0.6142658441377165,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
DIS,2026-03-11,0.005479,2,94.0,0.927754,101.31999969482422,7.4057495903048505,0.5679287055498469,0.37124560381873817,10.0,0.08534297006377682,0.0001,-0.3465489546875075,0.05
