ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,implied_vol,heston_v0,heston_kappa,heston_theta,heston_sigma,heston_rho,risk_free_rate
SPOT,2026-03-11,0.005479,2,300.0,0.56576,530.260009765625,231.73219028491803,4.092437312804587,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,310.0,0.584619,530.260009765625,220.35492963398576,2.2279907183179266,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,320.0,0.603478,530.260009765625,210.4176689871731,2.4902006865468205,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,330.0,0.622336,530.260009765625,200.49040835115352,2.5285033685805893,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,340.0,0.641195,530.260009765625,190.49314769147543,2.3826980487172746,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,350.0,0.660054,530.260009765625,180.77588706566956,2.5732956156764812,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,360.0,0.678912,530.260009765625,170.8586263927475,2.4789389901362906,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,370.0,0.697771,530.260009765625,161.02136572555793,2.4240488691296047,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,375.0,0.7072,530.260009765625,156.4527353392026,2.549671326755725,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,380.0,0.71663,530.260009765625,152.36410509642758,2.769479236556437,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,385.0,0.726059,530.260009765625,145.65547476939588,1.9404712116195357,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,390.0,0.735488,530.260009765625,141.74684443248742,2.404765127715446,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,392.5,0.740203,530.260009765625,137.868672624446,1.1111683116618811,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,395.0,0.744918,530.260009765625,136.51821411949794,2.242652948683844,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,397.5,0.749632,530.260009765625,132.91889893481795,1.4376997009692987,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,400.0,0.754347,530.260009765625,130.41958379445424,1.4091296857230895,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,402.5,0.759062,530.260009765625,128.0302686310397,1.5730792404932565,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,405.0,0.763776,530.260009765625,129.7009548700221,2.7978812013187264,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,407.5,0.768491,530.260009765625,123.14163839266593,1.6172091919654659,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,410.0,0.773206,530.260009765625,121.37232259723265,1.9505189831246061,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,412.5,0.77792,530.260009765625,118.43300798462684,1.7300142975171262,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
