Date,DIS,NFLX,SPOT
2020-09-01,7351200,95727000,1233300
2020-09-02,8187800,58869000,2455700
2020-09-03,12079200,90711000,1845500
2020-09-04,11248300,82701000,2062800
2020-09-08,17257300,55727000,1469800
2020-09-09,8891800,68481000,1057100
2020-09-10,9853400,62402000,3026300
2020-09-11,7165300,50352000,1371600
2020-09-14,8391900,73591000,1185700
2020-09-15,7289100,53370000,1232700
2020-09-16,6601000,43949000,5339100
2020-09-17,6723500,53793000,1913600
2020-09-18,9916300,67177000,1298000
2020-09-21,10352700,54575000,998300
2020-09-22,6978800,34823000,1539600
2020-09-23,8323600,37264000,1142100
2020-09-24,8480000,37272000,1451300
2020-09-25,6851800,37694000,770800
2020-09-28,6283700,47735000,937900
2020-09-29,7405800,35415000,1213600
2020-09-30,13642500,46341000,1131800
2020-10-01,8908300,81537000,1051500
2020-10-02,6490200,60712000,1043800
2020-10-05,5919200,40881000,964300
2020-10-06,9052000,41990000,932600
2020-10-07,10187800,79887000,616700
2020-10-08,7404600,53865000,765600
2020-10-09,11502200,47813000,617300
2020-10-12,10958200,53911000,937600
2020-10-13,22389000,56025000,1591600
2020-10-14,11531500,94990000,989600
2020-10-15,7744000,51131000,904000
2020-10-16,6291700,63474000,1038300
2020-10-19,6576900,75675000,818800
2020-10-20,6161200,100472000,904200
2020-10-21,6591500,174057000,1359500
2020-10-22,5177700,69979000,1216200
2020-10-23,5439900,49279000,1349800
2020-10-26,8578900,61861000,1921300
2020-10-27,6813800,36272000,1778000
2020-10-28,11654700,59927000,2257900
2020-10-29,9583700,111207000,5508200
2020-10-30,8090200,78079000,3520500
2020-11-02,9186000,44082000,2282200
2020-11-03,8144900,36902000,1418500
2020-11-04,7483000,51373000,1907000
2020-11-05,7654800,53728000,2180600
2020-11-06,6259700,42363000,2161200
2020-11-09,35634700,104197000,2060100
2020-11-10,18115400,83061000,2371400
2020-11-11,9600900,54605000,1183800
2020-11-12,13768200,50637000,890600
2020-11-13,21062300,30027000,861600
2020-11-16,16382500,39536000,1438100
2020-11-17,9354900,36981000,822800
2020-11-18,9456200,36292000,979100
2020-11-19,8892500,22547000,1372700
2020-11-20,8481600,42534000,1057000
2020-11-23,12887000,54166000,947300
2020-11-24,16711700,35505000,826900
2020-11-25,9552000,35986000,720600
2020-11-27,5306400,28058000,774200
2020-11-30,9710100,35309000,1800200
2020-12-01,8825500,50527000,1227100
2020-12-02,10601900,30284000,8178500
2020-12-03,9063200,28261000,2420000
2020-12-04,6033300,36662000,1979300
2020-12-07,6815500,42893000,2287600
2020-12-08,7900600,42290000,1620600
2020-12-09,10804300,41788000,1682200
2020-12-10,8993200,30182000,1268900
2020-12-11,87410700,32109000,1657600
2020-12-14,30939400,57704000,2117300
2020-12-15,18802600,33949000,2198600
2020-12-16,11105800,36824000,1574700
2020-12-17,9004600,31934000,960700
2020-12-18,21172100,45027000,1090800
2020-12-21,11424200,38940000,1076800
2020-12-22,6419200,19066000,958500
2020-12-23,9994000,23932000,1131600
2020-12-24,2721000,11440000,435800
2020-12-28,13145400,28919000,898200
2020-12-29,6875400,40224000,687900
2020-12-30,11680400,18763000,631500
2020-12-31,7073500,53923000,587100
2021-01-04,13426600,44444000,945700
2021-01-05,7771800,31339000,610400
2021-01-06,7517800,53462000,1024800
2021-01-07,7300800,36864000,977200
2021-01-08,7894500,29739000,2199700
2021-01-11,6461300,38062000,1105600
2021-01-12,8349800,59904000,829600
2021-01-13,6839500,50321000,2412100
2021-01-14,8951200,41774000,853800
2021-01-15,12232500,58958000,2352000
2021-01-19,7834700,123158000,1252600
2021-01-20,9809200,326375000,1044800
2021-01-21,8416400,118021000,1641800
2021-01-22,9517200,75508000,1083300
2021-01-25,7833700,72073000,1393700
2021-01-26,7523200,50238000,818300
2021-01-27,18239200,86703000,1549000
2021-01-28,14449100,59690000,1532100
2021-01-29,12848800,43253000,1485500
2021-02-01,8140400,35475000,1186200
2021-02-02,12215200,37676000,1744500
2021-02-03,5508600,31723000,6296200
2021-02-04,9035400,51645000,2451300
2021-02-05,6640500,23762000,2342800
2021-02-08,16085700,27917000,1609000
2021-02-09,11270800,37035000,1440500
2021-02-10,11464600,39913000,1492000
2021-02-11,17507900,27306000,1032400
2021-02-12,27233800,21971000,1119500
2021-02-16,11630700,26241000,1923600
2021-02-17,11391800,20696000,1283000
2021-02-18,12380900,24562000,1386500
2021-02-19,8834500,28415000,1313800
2021-02-22,18799600,30786000,4523400
2021-02-23,23191400,41365000,4162000
2021-02-24,16205900,32450000,1477600
2021-02-25,12712000,42529000,2428200
2021-02-26,15844000,37556000,2595700
2021-03-01,10709900,30414000,1539500
2021-03-02,8371400,30422000,1483000
2021-03-03,8750300,53624000,1636600
2021-03-04,12542600,50348000,2591400
2021-03-05,10266400,50700000,2599400
2021-03-08,25093200,39818000,2108000
2021-03-09,23331000,34700000,2424000
2021-03-10,13662100,37715000,1319500
2021-03-11,11933900,47145000,1854800
2021-03-12,13249100,39817000,963500
2021-03-15,10311400,34843000,866800
2021-03-16,9680700,32389000,891800
2021-03-17,14418700,28174000,844700
2021-03-18,9644500,40945000,1466800
2021-03-19,28354600,43864000,1327100
2021-03-22,8838500,33606000,606500
2021-03-23,10701200,55835000,802700
2021-03-24,13549100,41022000,1053100
2021-03-25,9609200,49268000,1657700
2021-03-26,10196100,34678000,1267700
2021-03-29,7544700,33300000,1078700
2021-03-30,5929700,24181000,1496000
2021-03-31,8478000,35031000,1194500
2021-04-01,7749400,39386000,1183800
2021-04-05,7405300,33559000,949300
2021-04-06,7926200,34742000,1280500
2021-04-07,6238700,21513000,690200
2021-04-08,7763000,43098000,679900
2021-04-09,6089300,28940000,1171000
2021-04-12,6662500,29441000,622100
2021-04-13,6826500,27203000,1154300
2021-04-14,9089900,37403000,815600
2021-04-15,7262500,31391000,1216600
2021-04-16,9453500,32091000,777800
2021-04-19,7625800,42887000,1398400
2021-04-20,10765800,112576000,1262200
2021-04-21,8400200,228974000,1828500
2021-04-22,7378300,90611000,1482300
2021-04-23,6075500,73077000,2239000
2021-04-26,6178300,43888000,2239600
2021-04-27,4870000,37613000,1239400
2021-04-28,5199300,31930000,7772300
2021-04-29,5958300,51278000,3330800
2021-04-30,7866300,44132000,2187600
2021-05-03,7542800,40919000,2305600
2021-05-04,7069300,43495000,2562400
2021-05-05,5901700,31294000,1549900
2021-05-06,6944900,37837000,1770100
2021-05-07,6888400,31328000,1312600
2021-05-10,8260300,51316000,1857300
2021-05-11,10865600,44010000,2509400
2021-05-12,8988100,41215000,1322100
2021-05-13,12332200,27125000,1635700
2021-05-14,33149400,28825000,2461700
2021-05-17,17771600,27052000,1352400
2021-05-18,10401000,23505000,1292600
2021-05-19,9251000,33499000,1831800
2021-05-20,7400700,37212000,1233400
2021-05-21,8105700,33229000,1037500
2021-05-24,7346700,24126000,980900
2021-05-25,8089700,26995000,1126600
2021-05-26,8086200,24653000,1364500
2021-05-27,13567800,32538000,1002500
2021-05-28,7124800,29103000,920700
2021-06-01,7475600,24826000,1037300
2021-06-02,7851700,22690000,1088900
2021-06-03,5583900,38874000,1244800
2021-06-04,6343400,31605000,946600
2021-06-07,5178100,27919000,1273500
2021-06-08,5356200,23740000,1167800
2021-06-09,5082400,30550000,1024100
2021-06-10,5253000,43829000,1500200
2021-06-11,5476300,31240000,1577000
2021-06-14,10170000,44002000,1250500
2021-06-15,7895000,31041000,1350100
2021-06-16,8336000,35332000,1367500
2021-06-17,8906000,31983000,1237400
2021-06-18,12357500,51976000,1348300
2021-06-21,9196900,52773000,826100
2021-06-22,8097100,58093000,1436700
2021-06-23,9174200,39448000,951500
2021-06-24,7549400,33612000,2251500
2021-06-25,7431800,52991000,1562100
2021-06-28,9881400,28202000,1248000
2021-06-29,13498300,23146000,875000
2021-06-30,7481900,27734000,1572600
2021-07-01,5887100,28054000,835000
2021-07-02,11099300,19755000,480900
2021-07-06,11557900,27751000,1063800
2021-07-07,6757300,27225000,746900
2021-07-08,6960100,32690000,932900
2021-07-09,7873300,27772000,575500
2021-07-12,21835500,17807000,740900
2021-07-13,12534600,27516000,899000
2021-07-14,8787300,46595000,1119900
2021-07-15,7867000,57139000,1506700
2021-07-16,8348800,34421000,1443100
2021-07-19,14651800,38858000,1232500
2021-07-20,8372400,69304000,902100
2021-07-21,6302200,119068000,1249900
2021-07-22,5713700,43281000,781200
2021-07-23,5126300,38205000,1501300
2021-07-26,5641000,22545000,1931300
2021-07-27,6684100,27590000,1403800
2021-07-28,5926900,23905000,7220300
2021-07-29,6209100,17360000,2544000
2021-07-30,6813400,25371000,2170000
2021-08-02,5847200,20966000,2227300
2021-08-03,9931300,25794000,3438800
2021-08-04,5665800,20394000,1670100
2021-08-05,8864200,25567000,1700800
2021-08-06,5505200,19198000,1014000
2021-08-09,5339000,13678000,1040800
2021-08-10,5185000,19605000,2855500
2021-08-11,5359900,16739000,3304600
2021-08-12,11081300,16857000,1541100
2021-08-13,32504600,21777000,860200
2021-08-16,8746700,20328000,1452500
2021-08-17,8534500,23098000,1330100
2021-08-18,7063500,25820000,1515100
2021-08-19,8478600,74973000,834000
2021-08-20,6239600,37764000,2314300
2021-08-23,7395900,26020000,1354400
2021-08-24,5886900,21095000,887700
2021-08-25,4842100,20656000,841800
2021-08-26,4563000,15955000,1125800
2021-08-27,8697000,32526000,1338800
