Date,DIS,NFLX,SPOT
2020-01-02,141.94723149573463,32.61000061035156,151.0
2020-01-03,143.0316740743746,32.678001403808594,149.5
2020-01-06,142.1914651778462,32.3120002746582,151.49000549316406
2020-01-07,142.63111444198861,33.64699935913086,156.6999969482422
2020-01-08,142.14262814494123,33.14899826049805,156.3300018310547
2020-01-09,143.100069579553,34.20000076293945,157.83999633789062
2020-01-10,141.95699562626314,33.7130012512207,157.74000549316406
2020-01-13,141.41965025049527,33.18000030517578,152.1999969482422
2020-01-14,140.1104888052538,34.439998626708984,151.6199951171875
2020-01-15,142.35757640387885,33.86800003051758,149.38999938964844
2020-01-16,141.75183460684704,34.349998474121094,153.35000610351562
2020-01-17,142.19147564486676,34.099998474121094,152.0800018310547
2020-01-21,140.9213815913832,34.0,147.5
2020-01-22,141.12654957460768,33.255001068115234,150.0
2020-01-23,140.29611249304537,32.604000091552734,148.0
2020-01-24,138.14672369655264,34.84600067138672,149.35000610351562
2020-01-27,132.7341812599303,34.595001220703125,143.10000610351562
2020-01-28,133.35946089065368,34.5880012512207,145.0
2020-01-29,135.41116522286157,34.900001525878906,144.94000244140625
2020-01-30,131.9819073294629,34.11000061035156,140.14999389648438
2020-01-31,135.2157486182991,34.73899841308594,143.0
2020-02-03,136.57376091230407,34.7239990234375,141.72999572753906
2020-02-04,142.14263978471766,36.099998474121094,149.0500030517578
2020-02-05,143.22709757324765,37.51300048828125,150.0
2020-02-06,138.6547562213231,36.959999084472656,146.6199951171875
2020-02-07,138.62546085544875,36.50400161743164,152.7899932861328
2020-02-10,137.7852205943527,36.5,152.6300048828125
2020-02-11,139.5633942064955,37.375,149.35000610351562
2020-02-12,138.08810433238457,37.71799850463867,146.16000366210938
2020-02-13,137.92201049672764,37.69599914550781,146.88999938964844
2020-02-14,137.8536342231457,38.14699935913086,142.72000122070312
2020-02-18,135.82148638666212,37.93000030517578,141.5
2020-02-19,136.41745100105845,38.8120002746582,145.57000732421875
2020-02-20,138.37144667445313,38.65599822998047,143.35000610351562
2020-02-21,136.64213602742086,38.53300094604492,146.75999450683594
2020-02-24,129.8422830480937,36.47600173950195,140.47999572753906
2020-02-25,130.67273713079064,37.20000076293945,146.8300018310547
2020-02-26,123.21829080707715,36.63100051879883,140.9199981689453
2020-02-27,117.05346156732995,37.145999908447266,137.00999450683594
2020-02-28,111.87540537336888,36.42100143432617,131.05999755859375
2020-03-02,116.3891091611271,37.31100082397461,137.97999572753906
2020-03-03,118.3626282373269,38.10300064086914,139.42999267578125
2020-03-04,116.22301062177428,37.777000427246094,139.0
2020-03-05,114.1713327877543,38.099998474121094,141.74000549316406
2020-03-06,108.21168187171321,36.77000045776367,145.25
2020-03-09,106.18930075437261,34.38600158691406,136.92999267578125
2020-03-10,105.61288128206716,35.643001556396484,141.75999450683594
2020-03-11,105.92551786061443,35.891998291015625,139.0800018310547
2020-03-12,95.37400090339158,32.650001525878906,125.43000030517578
2020-03-13,98.46129773937862,33.05099868774414,133.00999450683594
2020-03-16,89.68789879200993,30.663000106811523,118.52999877929688
2020-03-17,93.59587444553634,30.618999481201172,118.30999755859375
2020-03-18,85.57476013516698,30.239999771118164,111.0
2020-03-19,85.97533020458238,32.43299865722656,119.83000183105469
2020-03-20,93.78150504748508,34.23099899291992,129.38999938964844
2020-03-23,82.54608078739315,34.78900146484375,123.41000366210938
2020-03-24,90.20571580249577,36.999000549316406,125.0
2020-03-25,98.34404827627193,36.10200119018555,130.0399932861328
2020-03-26,98.51014629918761,34.400001525878906,124.08999633789062
2020-03-27,98.13888257761883,35.909000396728516,122.4800033569336
2020-03-30,93.79126374724352,36.29999923706055,124.4000015258789
2020-03-31,97.91418737906959,36.792999267578125,122.0
2020-04-01,91.34879463280282,37.60499954223633,119.80999755859375
2020-04-02,92.03267955980188,36.40800094604492,120.69000244140625
2020-04-03,94.09413108236288,36.74700164794922,122.0999984741211
2020-04-06,95.02228772737784,36.52199935913086,120.88999938964844
2020-04-07,102.44742853549285,38.0,125.0999984741211
2020-04-08,98.21703689932572,37.4010009765625,127.54000091552734
