Date,DIS,NFLX,SPOT
2020-01-02,144.790283203125,32.99800109863281,152.8000030517578
2020-01-03,144.4971625993486,32.986000061035156,153.58999633789062
2020-01-06,142.67019681335762,33.63600158691406,157.0
2020-01-07,143.49085754801737,33.66999816894531,157.85000610351562
2020-01-08,142.76790267804353,34.27000045776367,159.47999572753906
2020-01-09,143.25639193218504,34.34199905395508,159.97999572753906
2020-01-10,142.152391120486,33.849998474121094,158.66000366210938
2020-01-13,141.41965025049527,34.084999084472656,154.11500549316406
2020-01-14,143.34433138273153,34.53799819946289,152.1300048828125
2020-01-15,142.35757640387885,34.31700134277344,152.82000732421875
2020-01-16,142.08400847046315,34.35599899291992,153.35000610351562
2020-01-17,142.28918085366408,34.15700149536133,152.64999389648438
2020-01-21,141.26331996842757,34.099998474121094,149.44000244140625
2020-01-22,141.45872341364003,33.630001068115234,152.92999267578125
2020-01-23,140.30587705011897,34.987998962402344,150.9499969482422
2020-01-24,138.97717322548772,35.98500061035156,150.2100067138672
2020-01-27,134.5611521838583,35.189998626708984,145.3800048828125
2020-01-28,135.7335452365176,35.2400016784668,145.59500122070312
2020-01-29,135.48931150335005,34.939998626708984,144.94000244140625
2020-01-30,134.6784160495017,34.81999969482422,142.97000122070312
2020-01-31,135.47954075298844,34.73899841308594,143.02000427246094
2020-02-03,138.5570691976023,35.9630012512207,146.57000732421875
2020-02-04,142.24033008705536,36.957000732421875,156.0
2020-02-05,143.91098929925525,37.525001525878906,152.0
2020-02-06,140.63804955210463,37.154998779296875,154.5500030517578
2020-02-07,138.72316606545542,37.18000030517578,155.0
2020-02-10,139.309326171875,37.47999954223633,154.2899932861328
2020-02-11,139.70017256961307,37.81100082397461,150.97999572753906
2020-02-12,138.94786242789434,38.0620002746582,147.44000244140625
2020-02-13,138.6352107496292,38.5369987487793,146.88999938964844
2020-02-14,138.0294857002306,38.51499938964844,144.4600067138672
2020-02-18,136.44676092066547,38.95399856567383,145.1300048828125
2020-02-19,138.6059043947052,39.29499816894531,146.33999633789062
2020-02-20,138.37144667445313,38.970001220703125,148.17999267578125
2020-02-21,136.66168004648856,38.731998443603516,147.10000610351562
2020-02-24,131.34685968142279,37.28200149536133,146.6999969482422
2020-02-25,130.85836807718383,37.564998626708984,147.9499969482422
2020-02-26,125.41651637159795,38.20000076293945,144.5800018310547
2020-02-27,120.07237207561721,39.15599822998047,140.17999267578125
2020-02-28,115.58797213926653,37.676998138427734,137.5500030517578
2020-03-02,117.21955871582031,38.13600158691406,139.7899932861328
2020-03-03,118.97813075286686,39.35200119018555,142.3300018310547
2020-03-04,116.49656729082902,38.4010009765625,144.3300018310547
