method,n_sims,price,std_error,ci_lower,ci_upper,elapsed_s,eff_n_sims
crude,500,92.51237387420083,1.1438811581844288,90.27036680415935,94.75438094424231,0.03807909996248782,500.0
crude,1000,93.71898765945032,0.7888419168545563,92.1728575024154,95.26511781648524,0.07696489989757538,1000.0
crude,2000,93.91001065035894,0.558039738694778,92.81625276251718,95.0037685382007,0.15077050006948411,2000.0
crude,5000,94.20836721359791,0.35225228948855447,93.51795272620035,94.89878170099547,0.4021475000772625,5000.0
crude,10000,93.82476564169296,0.25057942708878095,93.33362996459896,94.31590131878697,0.8498962998855859,10000.0
antithetic,500,93.49521712668971,1.1392558322697477,91.262275695441,95.72815855793841,0.04634840018115938,500.0
antithetic,1000,93.05507992851834,0.8044296806541377,91.47839775443623,94.63176210260045,0.07218459993600845,1000.0
antithetic,2000,93.52448226801108,0.5602704983339909,92.42635209127646,94.62261244474571,0.1400003000162542,2000.0
antithetic,5000,93.80159501151942,0.3531102717739951,93.10949887884239,94.49369114419646,0.38779730000533164,5000.0
antithetic,10000,93.76856908283592,0.25080905377826,93.27698333743054,94.26015482824131,0.7734613001812249,10000.0
quasi,500,92.51691049462991,1.1501779245173482,90.26256176257591,94.77125922668391,0.16814610012806952,500.0
quasi,1000,93.18730670678968,0.8050575498551814,91.60939390907353,94.76521950450584,0.2298765000887215,1000.0
quasi,2000,93.20589800607584,0.5722121838655669,92.08436212569933,94.32743388645235,0.4059615998994559,2000.0
quasi,5000,93.72523672451538,0.35741143264460173,93.02471031653197,94.4257631324988,0.9270095999818295,5000.0
quasi,10000,93.69048859851347,0.251165445590415,93.19820432515625,94.18277287187068,1.8140310999006033,10000.0
stratified,500,92.75750744619286,1.1418331615763704,90.51951444950318,94.99550044288254,0.03590260003693402,500.0
stratified,1000,94.05624587501259,0.7891978930588349,92.50941800461727,95.60307374540791,0.07100429991260171,1000.0
stratified,2000,93.98151554596535,0.5594874477410726,92.88492014839285,95.07811094353785,0.14501590002328157,2000.0
stratified,5000,94.10405774107268,0.352191146446393,93.41376309403775,94.79435238810761,0.3996735999826342,5000.0
stratified,10000,93.81927813673748,0.2505129485160272,93.32827275764606,94.3102835158289,0.8215557001531124,10000.0
importance,500,92.1920167960764,3.7844977999354277,84.77440110820297,99.60963248394984,0.0416203998029232,179.50702382977173
importance,1000,94.44427915404015,2.683784619065524,89.18406130067171,99.70449700740858,0.07455580006353557,378.0531421915903
importance,2000,94.53295386076834,1.8672784949443757,90.87308801067736,98.19281971085933,0.1585433001164347,795.7979997346772
importance,5000,93.9974705468622,1.1854636590614833,91.6739617751017,96.3209793186227,0.42467970005236566,1947.871814346559
importance,10000,94.64346578840329,0.8374438374148692,93.00207586707015,96.28485570973643,0.8969469000585377,4021.3625340517124
control_variate,500,92.97698312958259,0.9432761863714465,91.12816180429456,94.82580445487062,0.052196099888533354,
control_variate,1000,93.29006062616024,0.6508096496695063,92.01447371280801,94.56564753951247,0.09211959992535412,
control_variate,2000,93.71599765890812,0.4580724833152959,92.81817559161014,94.6138197262061,0.18639859999530017,
control_variate,5000,94.3418103302586,0.2953075389220728,93.76300755397133,94.92061310654586,0.49120039981789887,
control_variate,10000,94.17846959496696,0.20894756386800326,93.76893236978567,94.58800682014824,1.0148272998631,
