ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,put_price,implied_vol,delta_call,gamma,vega,theta_call,risk_free_rate
DIS,2026-03-11,0.005479,2,70.0,0.69088,101.31999969482422,31.999999999068592,0.6608248489472288,3.40040281959831,0.9447616132478813,0.004376810139917811,0.8371736806142762,-262.95006896329744,0.05
DIS,2026-03-11,0.005479,2,75.0,0.740229,101.31999969482422,26.370544820169556,0.029999994669836383,1.6967728256885592,0.9930500029044582,0.0015216262646014862,0.14523095293546398,-26.198448071617392,0.05
DIS,2026-03-11,0.005479,2,80.0,0.789578,101.31999969482422,21.37191453368466,0.030000032806569266,1.367951412199856,0.9914952564737134,0.002254428213504466,0.17347407235400883,-25.60831855840886,0.05
DIS,2026-03-11,0.005479,2,85.0,0.838926,101.31999969482422,16.353284153125458,0.009999976868996896,0.9224539630062158,0.9954765549952916,0.0019114315647699239,0.09918156238622226,-12.573921311589213,0.05
DIS,2026-03-11,0.005479,2,89.0,0.878405,101.31999969482422,12.384379916797528,0.04000000023837913,0.8422058692059637,0.9827915604537097,0.006744328630984221,0.3195100170959033,-28.914358599151825,0.05
DIS,2026-03-11,0.005479,2,90.0,0.888275,101.31999969482422,11.384653851637651,0.04000000000282,0.7795650133630905,0.9815408200353891,0.007735655599510059,0.3392164906886638,-28.53352245056313,0.05
DIS,2026-03-11,0.005479,2,91.0,0.898144,101.31999969482422,10.384927785569332,0.03999999885883199,0.717038349677035,0.9800900646577541,0.00896889381750087,0.3617501810298688,-28.115113556416325,0.05
DIS,2026-03-11,0.005479,2,92.0,0.908014,101.31999969482422,9.39520170761412,0.04999998582795229,0.6785556161395205,0.9745117453871222,0.01167178478239245,0.44550256731438553,-32.051833453217874,0.05
DIS,2026-03-11,0.005479,2,93.0,0.917884,101.31999969482422,8.395475690852948,0.05000003399109687,0.6142658441377165,0.9721371720670761,0.01388926498362745,0.47991367117576406,-31.405078205159043,0.05
DIS,2026-03-11,0.005479,2,94.0,0.927754,101.31999969482422,7.4057495903048505,0.059999998367331386,0.5679287055498469,0.9649522283247389,0.018161003611889312,0.5801778655681699,-34.585004850952224,0.05
DIS,2026-03-11,0.005479,2,95.0,0.937623,101.31999969482422,6.466023540512225,0.12000001349903755,0.5782966763787667,0.9372852975669788,0.028431181454004372,0.9248538190403459,-53.22912606010763,0.05
DIS,2026-03-11,0.005479,2,96.0,0.947493,101.31999969482422,5.506297432925081,0.15999997083621054,0.5408222712956705,0.9152984176033709,0.03826226218216807,1.1639992536213097,-61.80498760982328,0.05
DIS,2026-03-11,0.005479,2,97.0,0.957363,101.31999969482422,4.556571083456362,0.2099996862918232,0.4983747977466246,0.886280972047985,0.051516642859635454,1.4442125586502055,-69.94009252781305,0.05
DIS,2026-03-11,0.005479,2,98.0,0.967233,101.31999969482422,3.6868453765910374,0.3400000443508304,0.4869226466609887,0.8289328628981899,0.06957109545183948,1.9055322638471226,-88.68105330740828,0.05
DIS,2026-03-11,0.005479,2,99.0,0.977102,101.31999969482422,2.7971194823903147,0.4500002150744251,0.4396955531726331,0.7692514599905359,0.09224518424481787,2.2815146767882797,-95.29660394217842,0.05
DIS,2026-03-11,0.005479,2,100.0,0.986972,101.31999969482422,2.027393202218434,0.679999999826876,0.4168462588980636,0.673391321268344,0.11535471760390999,2.704822430779288,-106.19395966507889,0.05
DIS,2026-03-11,0.005479,2,101.0,0.996842,101.31999969482422,1.3276671331976502,0.9799999957304095,0.38349679986255725,0.5538036353752886,0.13743925746576574,2.9648316302501123,-106.49074996451479,0.05
DIS,2026-03-11,0.005479,2,102.0,1.006711,101.31999969482422,0.890000135555141,1.542059063012232,0.3956744090561761,0.4190285629416094,0.13165517208081123,2.930241253554118,-107.8755084074655,0.05
DIS,2026-03-11,0.005479,2,103.0,1.016581,101.31999969482422,0.5299994317176235,2.1817844240990496,0.3898620219730219,0.29255885306600427,0.11754879442717316,2.5778438154543,-93.16216362649165,0.05
DIS,2026-03-11,0.005479,2,104.0,1.026451,101.31999969482422,0.21999993933853546,2.8715109966442753,0.3484992846910437,0.16145437431279352,0.09364048598661581,1.8356633658875028,-59.18205036835113,0.05
DIS,2026-03-11,0.005479,2,105.0,1.036321,101.31999969482422,0.13000000155550318,3.781237123785573,0.3695261626605715,0.10017040165185864,0.06340214082064811,1.3178822398449381,-44.938980235380285,0.05
DIS,2026-03-11,0.005479,2,106.0,1.04619,101.31999969482422,0.06999992745517147,4.7209631146095745,0.3817975760705431,0.05775328803632726,0.04037314900633626,0.8670682472799036,-30.49689381274016,0.05
DIS,2026-03-11,0.005479,2,107.0,1.05606,101.31999969482422,0.03000000000178238,5.680689252080498,0.38004030238611036,0.02773977974834236,0.022366830703664544,0.47814717735819895,-16.720541529261837,0.05
DIS,2026-03-11,0.005479,2,108.0,1.06593,101.31999969482422,0.02000000002653546,6.670415317029594,0.4075491094212207,0.018209433061081227,0.014626137855172647,0.3353027394985217,-12.56077436191528,0.05
DIS,2026-03-11,0.005479,2,109.0,1.075799,101.31999969482422,0.020000000588965783,7.6701413825163485,0.45730392688390015,0.016447074626924903,0.011949329050324111,0.30738023765948813,-12.908985692476966,0.05
DIS,2026-03-11,0.005479,2,110.0,1.085669,101.31999969482422,0.009999958971964928,8.659867405823661,0.46226037350932214,0.008726467769289207,0.006823773217151602,0.17743477562282023,-7.528130528468937,0.05
DIS,2026-03-11,0.005479,2,111.0,1.095539,101.31999969482422,0.02000000002673863,9.669593511802773,0.5533885309105903,0.01389188977679581,0.008541066386065598,0.2658702490291537,-13.494947433626633,0.05
DIS,2026-03-11,0.005479,2,112.0,1.105409,101.31999969482422,0.01000000180335725,10.659319578503727,0.5500818293995944,0.007465332699279585,0.004999214414199925,0.15468797493643718,-7.801877162073269,0.05
DIS,2026-03-11,0.005479,2,113.0,1.115278,101.31999969482422,0.019999997662693225,11.669045639287376,0.6455997701707864,0.012117373917073414,0.006505231252100615,0.23624008906198343,-13.977521548519125,0.05
DIS,2026-03-11,0.005479,2,114.0,1.125148,101.31999969482422,0.00999999950771635,12.658771706056726,0.6347453078784226,0.006564555076738896,0.0038675640474085987,0.13809072331237865,-8.03104106586458,0.05
DIS,2026-03-11,0.005479,2,115.0,1.135018,101.31999969482422,0.03000000055144514,13.678497772024784,0.7749904141858577,0.014844599166186492,0.0064573121837785625,0.28149818875981614,-19.980656547454718,0.05
DIS,2026-03-11,0.005479,2,116.0,1.144887,101.31999969482422,0.010000014622040032,14.658223851019699,0.7166559352620337,0.005886254560102986,0.003110120505822596,0.12537628855295666,-8.228283861380474,0.05
DIS,2026-03-11,0.005479,2,117.0,1.154757,101.31999969482422,0.03000002755468878,15.677949928876686,0.8645701450316391,0.013481233904517139,0.005327193075573775,0.25907539131027096,-20.505778367708366,0.05
DIS,2026-03-11,0.005479,2,118.0,1.164627,101.31999969482422,0.049999999856592314,16.69767596610292,0.9752259737943171,0.019168534600007562,0.006385258285635676,0.3502766759735908,-31.265508554668386,0.05
DIS,2026-03-11,0.005479,2,119.0,1.174497,101.31999969482422,0.009999997592159748,17.657402028762803,0.8349884708549806,0.005130849386580987,0.002362685979900127,0.1109721433019632,-8.480759880227069,0.05
DIS,2026-03-11,0.005479,2,120.0,1.184366,101.31999969482422,0.010000010294639927,18.65712810638962,0.8733351273516267,0.004927940315992701,0.0021792119627564613,0.10705523123122657,-8.555892272640417,0.05
DIS,2026-03-11,0.005479,2,121.0,1.194236,101.31999969482422,0.0900000893727193,19.736854250392014,1.2120735476625344,0.02677245866110976,0.006808421823618093,0.4641976304593046,-51.47218154572085,0.05
DIS,2026-03-11,0.005479,2,122.0,1.204106,101.31999969482422,0.00999999938033036,20.65658022532395,0.9485155450667607,0.004575527476199697,0.0018780087726896196,0.10020042424798511,-8.69523109911731,0.05
DIS,2026-03-11,0.005479,2,123.0,1.213976,101.31999969482422,1.4799999962246293,23.12630628709259,2.4519958924571537,0.1645243308167499,0.013472984639094101,1.8582795336897577,-416.5395380151548,0.05
DIS,2026-03-11,0.005479,2,125.0,1.233715,101.31999969482422,0.14999999914962725,23.79575841986623,1.514288373470305,0.03474455148233785,0.006762811522533676,0.5760542202459646,-79.7670048962076,0.05
DIS,2026-03-11,0.005479,2,130.0,1.283064,101.31999969482422,0.019999985264488984,28.664388730602724,1.3250860104434474,0.006400210679145098,0.00181155883790495,0.13502805249783728,-16.35821870157523,0.05
DIS,2026-03-11,0.005479,2,135.0,1.332412,101.31999969482422,0.11999999943625284,33.76301906939614,1.886822570723514,0.023683750034686604,0.003946663456840973,0.4188790578469028,-72.233461420683,0.05
DIS,2026-03-11,0.005479,2,140.0,1.381761,101.31999969482422,0.05999999867931072,38.70164939326081,1.8931113760471285,0.012693353539556779,0.0023094975605842403,0.2459354669600886,-42.54577429155284,0.05
DIS,2026-03-11,0.005479,2,145.0,1.431109,101.31999969482422,0.14000000011832503,43.780279719321456,2.3208713880509904,0.022806334108621203,0.0031082022426318972,0.40577738105660976,-86.0438735053855,0.05
DIS,2026-03-11,0.005479,2,150.0,1.480458,101.31999969482422,0.14999999139834452,48.788910035223125,2.5263558248328577,0.022585273679718458,0.0028320471495878767,0.4024597833503651,-92.88595838249195,0.05
DIS,2026-03-11,0.024658,9,55.0,0.542835,101.31999969482422,46.41776609842637,0.029999966838616388,1.5259104797908964,0.9962604974109744,0.00045941327383248754,0.17744860905255508,-8.21679528447363,0.05
DIS,2026-03-11,0.024658,9,60.0,0.592183,101.31999969482422,41.44392671702747,0.05000000027939677,1.4072428367982774,0.9935604872918806,0.0008084883973321484,0.2879936041878233,-11.179296735165263,0.05
DIS,2026-03-11,0.024658,9,65.0,0.641532,101.31999969482422,36.43008734730685,0.030000045398452357,1.1390113807074604,0.9950340341159343,0.0007930859485815651,0.22865901242114248,-8.500588276999,0.05
DIS,2026-03-11,0.024658,9,70.0,0.69088,101.31999969482422,31.476247931357264,0.07000004428854822,1.075767721858951,0.9887208450182357,0.001729330525759549,0.47090849115176686,-13.70752941568483,0.05
DIS,2026-03-11,0.024658,9,75.0,0.740229,101.31999969482422,26.542408472231102,0.13000000000205603,0.9856852171017583,0.978757550647705,0.003249161361514195,0.810680128893079,-19.83473908412065,0.05
DIS,2026-03-11,0.024658,9,80.0,0.789578,101.31999969482422,21.458569160512496,0.04000010312313407,0.6718025735176619,0.9893893169699005,0.002625836852757664,0.4465287300452917,-10.022228348192016,0.05
DIS,2026-03-11,0.024658,9,85.0,0.838926,101.31999969482422,16.474729635398035,0.0499999928483561,0.5355841198886258,0.9840258323145057,0.004690940429107934,0.6359567980781733,-11.06811904332305,0.05
DIS,2026-03-11,0.024658,9,89.0,0.878405,101.31999969482422,12.61965811070796,0.19000000003002526,0.5267117754022169,0.9477898312059414,0.012738410315844068,1.6983541866021465,-22.309867550656037,0.05
DIS,2026-03-11,0.024658,9,90.0,0.888275,101.31999969482422,11.580890227870725,0.15000000016071624,0.4666492069328207,0.9525670758705501,0.013318378623204554,1.5731925960589388,-19.13316657019685,0.05
DIS,2026-03-11,0.024658,9,92.0,0.908014,101.31999969482422,9.763354683398873,0.3300002216247435,0.4787119930716574,0.9094974002157368,0.021409820213340296,2.594342635257957,-29.303188902379382,0.05
DIS,2026-03-11,0.024658,9,93.0,0.917884,101.31999969482422,8.654586662829246,0.22000008402305582,0.39503129414605037,0.9239585746131428,0.02276086141796802,2.2759368137662372,-22.479110719633624,0.05
DIS,2026-03-11,0.024658,9,94.0,0.927754,101.31999969482422,7.71581869628065,0.28000000044238504,0.38078602812475126,0.9039929493815576,0.028116005559778584,2.7100333158443766,-25.11934456548896,0.05
DIS,2026-03-11,0.024658,9,95.0,0.937623,101.31999969482422,6.8670508134383255,0.4300000005680005,0.3884442699284531,0.8657721079626856,0.03499358092923751,3.4407816274249763,-31.1449515087031,0.05
DIS,2026-03-11,0.024658,9,96.0,0.947493,101.31999969482422,6.008282978027125,0.57000004812474,0.3813895615906834,0.8292310237498463,0.04182433358493267,4.037735227324067,-35.12723547595454,0.05
DIS,2026-03-11,0.024658,9,97.0,0.957363,101.31999969482422,5.099514946092796,0.6599998991583362,0.35514527340747737,0.7971041709504956,0.04997632511652997,4.492730437976783,-36.137808004211976,0.05
DIS,2026-03-11,0.024658,9,98.0,0.967233,101.31999969482422,4.410747163991871,0.970000000025351,0.36727628043391847,0.7349641234840284,0.05605779541691711,5.211573899263977,-42.31623138453254,0.05
DIS,2026-03-11,0.024658,9,99.0,0.977102,101.31999969482422,3.6419792806057103,1.1999999996071296,0.3524393036978555,0.6802881660341409,0.06375182534107399,5.687441768944134,-43.910600661223924,0.05
DIS,2026-03-11,0.024658,9,100.0,0.986972,101.31999969482422,2.8632113982743377,1.4200000002436894,0.3271985072099803,0.6197858235213087,0.07315423010586687,6.058857833877303,-43.19633951949828,0.05
DIS,2026-03-11,0.024658,9,101.0,0.996842,101.31999969482422,2.1844435148278976,1.739999999765189,0.30859013509394856,0.5457583410388517,0.0807213950557106,6.3053718290395775,-42.11159366926876,0.05
DIS,2026-03-11,0.024658,9,102.0,1.006711,101.31999969482422,1.6899999976748674,2.2443243655800984,0.307149088021585,0.464537045656614,0.08131495570610109,6.322075303951772,-41.644632297690436,0.05
DIS,2026-03-11,0.024658,9,103.0,1.016581,101.31999969482422,1.2200000056819604,2.773092256555117,0.2965091203156825,0.380775567302876,0.08076206232304249,6.0615746979675,-38.313506030033324,0.05
DIS,2026-03-11,0.024658,9,104.0,1.026451,101.31999969482422,0.9299999007362594,3.481860034577366,0.30274378172114996,0.3087247729920256,0.07311280186693542,5.602845717432583,-35.91320780172596,0.05
DIS,2026-03-11,0.024658,9,105.0,1.036321,101.31999969482422,0.649998786409185,4.2006268032182135,0.29841443377262356,0.23835116132287004,0.0652314929329313,4.927392386835145,-30.99153305802232,0.05
DIS,2026-03-11,0.024658,9,106.0,1.04619,101.31999969482422,0.5100000078091469,5.059395907586108,0.3113607093702492,0.19108425931193274,0.054971516843901475,4.332529548786332,-28.296838848387665,0.05
DIS,2026-03-11,0.024658,9,107.0,1.05606,101.31999969482422,0.2999999798043227,5.848163762549234,0.29536515923962725,0.13002671121362236,0.045023109048892514,3.3661599744110804,-20.804822404523712,0.05
DIS,2026-03-11,0.024658,9,108.0,1.06593,101.31999969482422,0.20999999822493187,6.756931663937763,0.29976868719146066,0.0956649295265733,0.035621152139023955,2.7029264791714827,-16.90426317695728,0.05
DIS,2026-03-11,0.024658,9,109.0,1.075799,101.31999969482422,0.19999997342468134,7.745699522105454,0.32773753352647306,0.08533842030006805,0.02993167691326425,2.4831172923152884,-16.924597712084896,0.05
DIS,2026-03-11,0.024658,9,110.0,1.085669,101.31999969482422,0.09000000438487366,8.634467436033589,0.30208666488328856,0.046179159689766824,0.02013622268920452,1.5397477019181403,-9.661393373868256,0.05
DIS,2026-03-11,0.024658,9,111.0,1.095539,101.31999969482422,0.11000000003523436,9.65323531465188,0.3418346081583059,0.0494613880350252,0.0188005273143215,1.626769662531106,-11.521263174730409,0.05
DIS,2026-03-11,0.024658,9,112.0,1.105409,101.31999969482422,0.04000000019800121,10.582003197782583,0.3097527026962768,0.022178969190077755,0.010723182873793669,0.8407731257517237,-5.391335770926247,0.05
DIS,2026-03-11,0.024658,9,113.0,1.115278,101.31999969482422,0.15999972555173336,11.700770806104245,0.425274260424421,0.056831608848586734,0.016871450580311004,1.8161910313608196,-15.942044701214133,0.05
DIS,2026-03-11,0.024658,9,114.0,1.125148,101.31999969482422,0.07000015209541477,12.609539115615874,0.3884450725214599,0.029888881710707724,0.01097591091599386,1.0792205213540043,-8.64872435527791,0.05
DIS,2026-03-11,0.024658,9,115.0,1.135018,101.31999969482422,0.029999983624627413,13.56830683011303,0.36296582281597756,0.014929840795347519,0.006531519595021281,0.6000949500891539,-4.490917597631872,0.05
