ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,put_price,implied_vol,delta_call,gamma,vega,theta_call,risk_free_rate
SPOT,2026-03-11,0.005479,2,300.0,0.56576,530.260009765625,231.73219028491803,1.3899999965910297,4.092437312804587,0.9789529750733851,0.000314734563145154,1.984455461715123,-755.4333076042456,0.05
SPOT,2026-03-11,0.005479,2,310.0,0.584619,530.260009765625,220.35492963398576,0.009999994901988885,2.2279907183179266,0.9995795070842647,1.7308846640692118e-05,0.059415039399488716,-27.563429741039876,0.05
SPOT,2026-03-11,0.005479,2,320.0,0.603478,530.260009765625,210.4176689871731,0.06999999733261575,2.4902006865468205,0.9976980291057528,7.368638399472786e-05,0.28270694377097527,-80.1708134576202,0.05
SPOT,2026-03-11,0.005479,2,330.0,0.622336,530.260009765625,200.49040835115352,0.140000010556264,2.5285033685805893,0.9957181495407912,0.00012686687831482105,0.4942272332025599,-130.40599455712834,0.05
SPOT,2026-03-11,0.005479,2,340.0,0.641195,530.260009765625,190.49314769147543,0.14000000012146074,2.3826980487172746,0.9954661769410728,0.00014168678873709774,0.5201316108055629,-129.9557752412435,0.05
SPOT,2026-03-11,0.005479,2,350.0,0.660054,530.260009765625,180.77588706566956,0.42000002355888455,2.5732956156764812,0.9886254538241271,0.0002951874608631155,1.170314181141397,-291.977879842367,0.05
SPOT,2026-03-11,0.005479,2,360.0,0.678912,530.260009765625,170.8586263927475,0.4999999998800604,2.4789389901362906,0.9862265098703247,0.0003616403093467777,1.3812031260015434,-330.03743588194146,0.05
SPOT,2026-03-11,0.005479,2,370.0,0.697771,530.260009765625,161.02136572555793,0.6599999819337654,2.4240488691296047,0.9819932202767236,0.0004654055493272828,1.7381522323649787,-402.4541616755052,0.05
SPOT,2026-03-11,0.005479,2,375.0,0.7072,530.260009765625,156.4527353392026,1.0899999202000572,2.549671326755725,0.97328412909221,0.0006173481186584998,2.4250975403243573,-582.199197585413,0.05
SPOT,2026-03-11,0.005479,2,380.0,0.71663,530.260009765625,152.36410509642758,2.000000002046704,2.769479236556437,0.9581078782086337,0.0008230028969123441,3.511675353643627,-905.2370773296249,0.05
SPOT,2026-03-11,0.005479,2,385.0,0.726059,530.260009765625,145.65547476939588,0.2899999996366205,1.9404712116195357,0.9893431641229653,0.00036987632737577346,1.105805187445698,-214.75039284068544,0.05
SPOT,2026-03-11,0.005479,2,390.0,0.735488,530.260009765625,141.74684443248742,1.3799999873497768,2.404765127715446,0.9653468810311661,0.0008119508219615017,3.0082731911029197,-678.6267800017735,0.05
SPOT,2026-03-11,0.005479,2,395.0,0.744918,530.260009765625,136.51821411949794,1.1499999989819685,2.242652948683844,0.9684544353538791,0.0008057861801178959,2.7841765313272555,-588.6104030333557,0.05
SPOT,2026-03-11,0.005479,2,397.5,0.749632,530.260009765625,132.91889893481795,0.049999976612753017,1.4376997009692987,0.9971414583899951,0.00015522011157088198,0.3438199365577839,-64.89703809928587,0.05
SPOT,2026-03-11,0.005479,2,400.0,0.754347,530.260009765625,130.41958379445424,0.04999999855988335,1.4091296857230895,0.9970865817864367,0.00016110599605339253,0.3497659680130256,-64.88876462322273,0.05
